HSPF_BLOCK,HSPF_TABLE,HDF_TABLE,IF_HAVE_THEN_REQUIRE,DEFAULTABLE_TABLE,HSPF_MAX_NO_TABLES,HEADER,HELP
BMPRAC,ACID-FLAG,/BMPRAC/ACID/FLAGS,BMPRAC GEN-INFO,,,"*** BMPRAC  Num       Monthly variable flags
*** x -  x Chem ACI1 ACI2 ACI3 ACI4 ACI5 ACI6 ACI7",*** Acid mine drainage components flags.
BMPRAC,ACID-FRAC,/BMPRAC/ACID/PARAMETERS,BMPRAC GEN-INFO,,,"    BMPRAC***                        Removal fractions
*** x -  x      ACI1      ACI2      ACI3      ACI4      ACI5      ACI6      ACI7",*** Removal fractions for acid mine drainage chemicals
BMPRAC,ADSNUT-FRAC,/BMPRAC/ADSNUT/PARAMETERS,BMPRAC GEN-INFO,TRUE,,"***                             Removal fractions
*** BMPRAC              Ammonia                     Phosphate
*** x -  x      Sand      Silt      Clay      Sand      Silt      Clay",*** Removal fractions for adsorbed nutrients.
BMPRAC,BINARY-INFO,/BMPRAC/GENERAL/BINOUT,BMPRAC GEN-INFO,,,"*** BMPRAC  Binary Output level flags
*** x -  x FLOW CONS HEAT  SED   GQ  OXY  NUT PLNK   PH PIVL  PYR","*** Table of binary output level flags for BMPRAC. HSPF permits the user
*** to vary the output level (maximum frequency) for the various active
*** sections of an operation. 2 means every PIVL intervals, 3 means
*** every day, 4 means every month, 5 means every year, 6 means never."
BMPRAC,CONS-FLAG,/BMPRAC/CONS/FLAGS,BMPRAC GEN-INFO,TRUE,,"*** BMPRAC            Monthly variable flags
*** x -  x  C1F  C2F  C3F  C4F  C5F  C6F  C7F  C8F  C9F C10F",*** Conservative constituent flags.
BMPRAC,CONS-FRAC,/BMPRAC/CONS/PARAMETERS,BMPRAC GEN-INFO,,,"*** BMPRAC        Name           Units  Removal fraction
*** x -  x<-------CONID------>  <CQTYID>    CONFRC",*** Name and removal fraction for one conservative substance.
BMPRAC,DNUT-FRAC,/BMPRAC/DNUT/PARAMETERS,BMPRAC GEN-INFO,TRUE,,"*** BMPRAC               Removal fractions
*** x -  x       NO3       TAM       NO2       PO4",*** Removal fractions for dissolved nutrients.
BMPRAC,FLOW-FLAG,/BMPRAC/FLOW/FLAGS,BMPRAC GEN-INFO,TRUE,,"*** BMPRAC Monthly variable flag
*** x -  x VOLF",*** Flow flags.
BMPRAC,FLOW-FRAC,/BMPRAC/FLOW/FLAGS,BMPRAC GEN-INFO,TRUE,,"*** BMPRAC Removal fraction
*** x -  x    VOLFRC",*** Removal fraction for flow.
BMPRAC,GEN-INFO,/BMPRAC/GENERAL/INFO,,,,"***              Name           BMP             Unit Systems   Printer
*** BMPRAC                     Type NCON  NGQ      t-series  Engl Metr
*** x -  x<------------------>                      in  out",*** General information for BMPRAC.
